Club,Wage,Age,Apps,Caps,Position_num,Club_num,Nation_num,League_num,League
1. FC Koln,620439.3939393939,24.060606060606062,150.12121212121212,5.606060606060606,1.4848484848484849,0.0,43.93939393939394,0.0,Bundesliga
Borussia M'gladbach,1682518.5185185184,24.85185185185185,161.59259259259258,7.296296296296297,1.4444444444444444,20.0,44.925925925925924,0.0,Bundesliga
Eintracht Frankfurt,980375.0,26.083333333333332,179.41666666666666,12.583333333333334,1.1666666666666667,34.0,43.75,0.0,Bundesliga
Bayer 04,1774585.7142857143,23.17142857142857,118.14285714285714,12.542857142857143,1.4857142857142858,16.0,44.114285714285714,0.0,Bundesliga
Hoffenheim,1237088.2352941176,24.029411764705884,143.55882352941177,13.352941176470589,1.2941176470588236,52.0,49.529411764705884,0.0,Bundesliga
SV Werder,863045.4545454546,25.363636363636363,177.95454545454547,1.9090909090909092,1.1363636363636365,85.0,39.90909090909091,0.0,Bundesliga
Union Berlin,588287.8787878788,25.242424242424242,168.5151515151515,3.515151515151515,1.7272727272727273,102.0,54.03030303030303,0.0,Bundesliga
RB Leipzig,2151500.0,23.575757575757574,146.36363636363637,18.272727272727273,1.2727272727272727,77.0,53.0,0.0,Bundesliga
Schalke 04,711828.947368421,24.394736842105264,148.78947368421052,6.7631578947368425,1.0789473684210527,91.0,52.81578947368421,0.0,Bundesliga
Hertha Berlin,762156.25,24.5625,150.84375,9.3125,1.4375,51.0,52.21875,0.0,Bundesliga
FC Augsburg,607092.8571428572,23.857142857142858,133.0,4.457142857142857,1.3142857142857143,40.0,47.6,0.0,Bundesliga
VfL Wolfsburg,1308691.1764705882,22.294117647058822,92.32352941176471,2.764705882352941,1.1764705882352942,111.0,43.85294117647059,0.0,Bundesliga
VfL Bochum,291310.8108108108,25.10810810810811,154.40540540540542,6.594594594594595,1.3243243243243243,110.0,50.21621621621622,0.0,Bundesliga
VfB Stuttgart,407064.51612903224,22.225806451612904,98.51612903225806,4.387096774193548,0.967741935483871,109.0,48.483870967741936,0.0,Bundesliga
Borussia Dortmund,3907576.923076923,25.192307692307693,186.3846153846154,17.384615384615383,1.0384615384615385,19.0,51.73076923076923,0.0,Bundesliga
SC Freiburg,402166.6666666667,24.766666666666666,172.3,6.433333333333334,1.4,84.0,42.86666666666667,0.0,Bundesliga
FC Bayern,8708043.47826087,26.82608695652174,231.56521739130434,43.95652173913044,1.2608695652173914,41.0,53.56521739130435,0.0,Bundesliga
Mainz 05,839250.0,23.933333333333334,134.2,6.866666666666666,1.1666666666666667,61.0,49.5,0.0,Bundesliga
Cadiz,428166.6666666667,25.88888888888889,190.97222222222223,2.388888888888889,1.0555555555555556,26.0,43.888888888888886,1.0,La Liga
Atletico Pamplona,443720.0,26.28,213.84,0.68,1.4,12.0,38.88,1.0,La Liga
A. Madrid,4096264.705882353,24.352941176470587,179.7058823529412,26.764705882352942,1.2941176470588236,2.0,41.61764705882353,1.0,La Liga
Vallecano,510655.1724137931,26.620689655172413,225.41379310344828,6.068965517241379,1.4827586206896552,107.0,38.827586206896555,1.0,La Liga
Valladolid,454884.6153846154,26.423076923076923,204.0,6.961538461538462,1.7692307692307692,106.0,42.46153846153846,1.0,La Liga
Valencia,612572.3684210526,22.236842105263158,105.60526315789474,5.131578947368421,1.4473684210526316,105.0,46.71052631578947,1.0,La Liga
Villarreal,1306518.5185185184,26.444444444444443,232.85185185185185,12.0,1.3333333333333333,113.0,36.18518518518518,1.0,La Liga
Barcelona,6313604.166666667,24.166666666666668,178.5,28.708333333333332,1.2916666666666667,15.0,43.625,1.0,La Liga
Vigo,645815.7142857143,23.8,133.4857142857143,6.514285714285714,1.1714285714285715,112.0,44.68571428571428,1.0,La Liga
Almeria,336500.0,24.413793103448278,154.68965517241378,0.6551724137931034,1.2413793103448276,6.0,44.10344827586207,1.0,La Liga
Elche,408558.82352941175,24.970588235294116,174.44117647058823,2.088235294117647,1.1470588235294117,35.0,28.058823529411764,1.0,La Liga
Real San Sebastian,962909.0909090909,23.333333333333332,138.4848484848485,7.03030303030303,1.4848484848484849,80.0,40.484848484848484,1.0,La Liga
Girona,553148.1481481482,25.037037037037038,181.0,5.592592592592593,1.2962962962962963,50.0,46.888888888888886,1.0,La Liga
Espanyol,494866.6666666667,24.7,175.73333333333332,3.7333333333333334,1.3,37.0,39.3,1.0,La Liga
Real Hispalis,1230338.7096774194,26.612903225806452,212.38709677419354,18.161290322580644,1.3225806451612903,79.0,37.193548387096776,1.0,La Liga
R. Madrid,9128782.608695652,27.347826086956523,264.5652173913044,40.52173913043478,1.2173913043478262,76.0,36.47826086956522,1.0,La Liga
A. Bilbao,1741481.4814814816,26.11111111111111,228.1851851851852,1.8518518518518519,1.4814814814814814,1.0,36.74074074074074,1.0,La Liga
Sevilla,1840000.0,26.310344827586206,218.13793103448276,17.82758620689655,1.3448275862068966,92.0,39.310344827586206,1.0,La Liga
Mallorca,603666.6666666666,25.733333333333334,199.26666666666668,8.6,1.4,62.0,53.6,1.0,La Liga
Getafe,967435.1851851852,26.14814814814815,198.55555555555554,7.814814814814815,1.3333333333333333,48.0,55.96296296296296,1.0,La Liga
FC Nantes,627400.0,26.0,182.76,8.16,1.44,43.0,38.8,2.0,Ligue 1 Uber Eats
FC Lorient,452380.95238095237,24.714285714285715,129.71428571428572,2.619047619047619,1.7142857142857142,42.0,48.666666666666664,2.0,Ligue 1 Uber Eats
Reims,443181.8181818182,24.59090909090909,135.63636363636363,5.590909090909091,1.2272727272727273,81.0,57.18181818181818,2.0,Ligue 1 Uber Eats
Rennes,1151727.2727272727,25.272727272727273,164.5909090909091,9.0,1.1363636363636365,82.0,44.5,2.0,Ligue 1 Uber Eats
Clermont,356055.55555555556,27.333333333333332,180.94444444444446,5.444444444444445,1.2222222222222223,31.0,44.44444444444444,2.0,Ligue 1 Uber Eats
Brest,300844.8275862069,23.96551724137931,123.96551724137932,4.862068965517241,1.3103448275862069,23.0,41.275862068965516,2.0,Ligue 1 Uber Eats
Toulouse FC,281980.0,23.8,126.24,1.44,1.28,99.0,49.88,2.0,Ligue 1 Uber Eats
AS Monaco,2070666.6666666667,24.952380952380953,169.28571428571428,13.238095238095237,1.4761904761904763,5.0,50.76190476190476,2.0,Ligue 1 Uber Eats
RC Lens,670479.1666666666,26.083333333333332,169.91666666666666,3.8333333333333335,1.2916666666666667,78.0,42.041666666666664,2.0,Ligue 1 Uber Eats
Troyes,452800.0,25.12,141.8,3.36,1.4,100.0,50.16,2.0,Ligue 1 Uber Eats
Strasbourg,654022.7272727273,27.045454545454547,196.45454545454547,8.954545454545455,1.3181818181818181,96.0,46.22727272727273,2.0,Ligue 1 Uber Eats
AJ Auxerre,327720.0,26.64,172.8,6.44,1.36,4.0,49.6,2.0,Ligue 1 Uber Eats
Montpellier,518208.3333333333,25.125,153.95833333333334,6.75,1.1666666666666667,66.0,51.0,2.0,Ligue 1 Uber Eats
PSG,11046675.0,26.05,223.45,45.45,1.2,73.0,47.65,2.0,Ligue 1 Uber Eats
AC Ajaccio,278981.48148148146,28.51851851851852,206.77777777777777,7.925925925925926,1.4814814814814814,3.0,40.48148148148148,2.0,Ligue 1 Uber Eats
OGC Nice,1578956.5217391304,24.52173913043478,166.82608695652175,13.130434782608695,1.3043478260869565,69.0,42.30434782608695,2.0,Ligue 1 Uber Eats
