,Wage,Age,Club,League,Nation,Position,Apps,Caps
0,46427000,23,PSG,Ligue 1 Uber Eats,FRA,Forward,190,57
1,42125000,30,PSG,Ligue 1 Uber Eats,BRA,Midfilder,324,119
2,34821000,35,PSG,Ligue 1 Uber Eats,ARG,Forward,585,162
3,19959000,31,R. Madrid,La Liga,BEL,Forward,443,120
4,19500000,31,Man UFC,Premier League,ESP,Goalkeeper,480,45
5,18810000,30,R. Madrid,La Liga,AUT,Defender,371,94
6,18200000,29,Inter,Serie A,BEL,Forward,427,102
7,18200000,30,Liverpool,Premier League,EGY,Forward,367,85
8,18200000,27,Chelsea,Premier League,ENG,Midfilder,326,77
9,18200000,29,Man UFC,Premier League,FRA,Defender,287,86
10,17680000,31,Man City,Premier League,BEL,Midfilder,399,91
11,17680000,22,Man City,Premier League,NOR,Forward,159,21
12,16121000,32,R. Madrid,La Liga,GER,Midfilder,433,105
13,15965000,29,A. Madrid,La Liga,SVN,Goalkeeper,368,50
14,15600000,31,Chelsea,Premier League,SEN,Defender,347,61
15,15600000,30,Man UFC,Premier League,BRA,Midfilder,328,63
16,15476000,30,FC Bayern,Bundesliga,SEN,Forward,355,87
17,15476000,34,Barcelona,La Liga,POL,Forward,506,132
18,15080000,31,Chelsea,Premier League,FRA,Midfilder,350,53
19,15046000,32,FC Bayern,Bundesliga,GER,Midfilder,457,115
20,15046000,27,FC Bayern,Bundesliga,GER,Defender,260,68
21,14616000,26,FC Bayern,Bundesliga,GER,Midfilder,205,45
22,14616000,36,FC Bayern,Bundesliga,GER,Goalkeeper,496,112
23,14432000,34,R. Madrid,La Liga,FRA,Forward,532,97
24,14432000,36,R. Madrid,La Liga,CRO,Midfilder,560,152
25,14300000,22,Man UFC,Premier League,ENG,Midfilder,141,23
26,14040000,26,Man City,Premier League,ENG,Midfilder,254,23
27,13756000,23,FC Bayern,Bundesliga,NED,Defender,188,37
28,13747000,30,A. Madrid,La Liga,ESP,Midfilder,456,66
29,13333000,27,A. Madrid,La Liga,ESP,Midfilder,349,19
30,13272000,30,R. Madrid,La Liga,BEL,Goalkeeper,418,94
31,13000000,26,Man UFC,Premier League,FRA,Forward,236,30
32,13000000,27,Man UFC,Premier League,POR,Midfilder,313,46
33,13000000,22,Chelsea,Premier League,ENG,Defender,133,13
34,12896000,27,FC Bayern,Bundesliga,GER,Midfilder,190,34
35,12896000,26,FC Bayern,Bundesliga,FRA,Midfilder,181,40
36,12480000,31,Liverpool,Premier League,NED,Defender,334,47
37,12381000,29,PSG,Ligue 1 Uber Eats,ITA,Midfilder,327,49
38,12381000,28,PSG,Ligue 1 Uber Eats,BRA,Defender,273,69
39,12070000,25,Barcelona,La Liga,NED,Defender,207,43
40,12037000,31,A. Madrid,La Liga,FRA,Forward,462,108
41,12037000,27,FC Bayern,Bundesliga,GER,Midfilder,252,44
42,11960000,21,Chelsea,Premier League,FRA,Defender,55,0
43,11710000,36,PSG,Ligue 1 Uber Eats,ESP,Defender,547,180
44,11700000,31,Liverpool,Premier League,ESP,Midfilder,318,46
45,11700000,24,Man UFC,Premier League,ENG,Forward,210,46
46,11440000,29,Tottenham,Premier League,ENG,Forward,341,73
47,11440000,28,FC Bayern,Bundesliga,POR,Defender,264,36
48,11177000,23,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,239,46
49,11177000,26,FC Bayern,Bundesliga,FRA,Defender,155,32
50,11173000,22,Juventus,Serie A,SRB,Forward,138,14
51,10973000,29,R. Madrid,La Liga,GER,Defender,282,53
52,10400000,28,Man City,Premier League,ENG,Defender,225,58
53,10400000,29,Man UFC,Premier League,ENG,Defender,374,46
54,10400000,31,Man City,Premier League,ALG,Midfilder,367,75
55,10385000,31,Juventus,Serie A,BRA,Defender,325,37
56,10380000,35,Juventus,Serie A,ITA,Defender,477,116
57,10380000,32,Juventus,Serie A,POL,Goalkeeper,373,64
58,10346000,25,Barcelona,La Liga,CIV,Midfilder,253,56
59,10346000,34,Barcelona,La Liga,ESP,Midfilder,480,137
60,10346000,25,Barcelona,La Liga,FRA,Midfilder,165,27
61,10346000,25,Barcelona,La Liga,BRA,Midfilder,190,9
62,10346000,19,Barcelona,La Liga,ESP,Forward,44,4
63,10346000,26,Barcelona,La Liga,DEN,Defender,160,56
64,10317000,35,Nottm Forest,Premier League,CRC,Goalkeeper,325,107
65,10244000,30,Tottenham,Premier League,KOR,Midfilder,379,102
66,9887000,28,A. Bilbao,La Liga,GHA,Midfilder,309,0
67,9880000,32,Liverpool,Premier League,ENG,Midfilder,406,69
68,9880000,29,Liverpool,Premier League,BRA,Goalkeeper,224,55
69,9880000,25,Chelsea,Premier League,ENG,Defender,147,17
70,9672000,22,R. Madrid,La Liga,BRA,Forward,164,14
71,9656000,33,Barcelona,La Liga,ESP,Defender,434,85
72,9578000,25,Inter,Serie A,ARG,Forward,187,38
73,9578000,29,Inter,Serie A,CRO,Midfilder,364,74
74,9457000,23,FC Bayern,Bundesliga,FRA,Defender,180,6
75,9457000,28,Borussia Dortmund,Bundesliga,CIV,Forward,290,15
76,9439000,31,Capitoline,Serie A,NED,Midfilder,470,85
77,9405000,24,R. Madrid,La Liga,URU,Midfilder,175,42
78,9360000,21,Arsenal,Premier League,BRA,Forward,80,3
79,9360000,28,Man City,Premier League,POR,Midfilder,313,70
80,9360000,28,Liverpool,Premier League,BRA,Defender,319,27
81,9360000,29,Man City,Premier League,BRA,Goalkeeper,296,18
82,9360000,33,Tottenham,Premier League,CRO,Defender,433,113
83,9360000,30,Liverpool,Premier League,BRA,Forward,414,55
84,9360000,21,Chelsea,Premier League,ARG,Midfilder,71,2
85,9100000,32,Man City,Premier League,ENG,Defender,400,68
86,9100000,24,Tottenham,Premier League,ARG,Defender,131,11
87,9100000,25,Man City,Premier League,POR,Defender,214,37
88,9100000,25,Tottenham,Premier League,BRA,Forward,241,36
89,8924000,23,PSG,Ligue 1 Uber Eats,MAR,Defender,167,51
90,8845000,29,Juventus,Serie A,FRA,Midfilder,281,91
91,8840000,33,Chelsea,Premier League,GAB,Forward,445,73
92,8840000,27,Man UFC,Premier League,ENG,Defender,212,21
93,8840000,30,Man UFC,Premier League,DEN,Midfilder,399,115
94,8840000,28,Man UFC,Premier League,SWE,Defender,334,52
95,8621000,27,Borussia Dortmund,Bundesliga,GER,Defender,234,40
96,8598000,26,RB Leipzig,Bundesliga,GER,Midfilder,283,53
97,8598000,30,Borussia Dortmund,Bundesliga,BEL,Defender,324,56
98,8598000,33,Borussia Dortmund,Bundesliga,GER,Defender,435,76
99,8598000,27,PSG,Ligue 1 Uber Eats,FRA,Defender,159,28
100,8598000,33,Borussia Dortmund,Bundesliga,GER,Forward,390,48
101,8580000,31,Man City,Premier League,GER,Midfilder,320,59
102,8320000,28,Liverpool,Premier League,SCO,Defender,337,59
103,8320000,26,Man City,Premier League,ESP,Defender,246,33
104,8320000,29,Arsenal,Premier League,GHA,Midfilder,281,40
105,8320000,26,Man City,Premier League,ENG,Midfilder,221,23
106,8320000,24,Newcastle,Premier League,BRA,Midfilder,135,8
107,8320000,35,Leicester,Premier League,ENG,Forward,518,26
108,8320000,23,Liverpool,Premier League,ENG,Defender,168,17
109,8290000,28,A. Madrid,La Liga,NED,Forward,291,79
110,8190000,23,Barcelona,La Liga,FRA,Defender,155,11
111,8151000,29,A. Madrid,La Liga,ESP,Forward,388,56
112,8082000,22,Chelsea,Premier League,POR,Forward,142,22
113,7984000,30,R. Madrid,La Liga,ESP,Defender,320,29
114,7984000,27,R. Madrid,La Liga,FRA,Defender,179,7
115,7984000,24,R. Madrid,La Liga,BRA,Defender,132,22
116,7983000,34,Juventus,Serie A,COL,Defender,369,113
117,7983000,28,Inter,Serie A,TUR,Midfilder,334,72
118,7983000,25,Juventus,Serie A,BRA,Defender,125,0
119,7983000,24,Juventus,Serie A,ITA,Midfilder,178,37
120,7983000,36,Inter,Serie A,BIH,Forward,576,124
121,7983000,25,Inter,Serie A,ITA,Midfilder,224,39
122,7800000,33,Chelsea,Premier League,ESP,Defender,499,40
123,7800000,23,Chelsea,Premier League,GER,Forward,180,28
124,7800000,26,Chelsea,Premier League,ENG,Midfilder,132,10
125,7800000,28,Chelsea,Premier League,CRO,Midfilder,317,81
126,7800000,21,Chelsea,Premier League,UKR,Midfilder,49,5
127,7800000,23,Chelsea,Premier League,USA,Midfilder,169,51
128,7800000,22,Man UFC,Premier League,BRA,Midfilder,91,9
129,7738000,19,Barcelona,La Liga,ESP,Midfilder,90,12
130,7738000,28,Juventus,Serie A,ARG,Midfilder,215,44
131,7733000,27,Juventus,Serie A,FRA,Midfilder,260,29
132,7621000,27,Chelsea,Premier League,ESP,Goalkeeper,272,11
133,7397000,30,Barcelona,La Liga,GER,Goalkeeper,348,28
134,7397000,29,A. Madrid,La Liga,BEL,Defender,294,57
135,7397000,27,A. Madrid,La Liga,ESP,Defender,230,5
136,7308000,28,Man UFC,Premier League,AUT,Midfilder,373,64
137,7308000,28,Borussia Dortmund,Bundesliga,GER,Defender,285,37
138,7280000,23,Liverpool,Premier League,URU,Forward,109,11
139,7280000,25,Liverpool,Premier League,POR,Forward,237,27
140,7280000,31,Liverpool,Premier League,CMR,Defender,328,27
141,7280000,25,Man UFC,Premier League,NED,Midfilder,187,19
142,7222000,29,PSG,Ligue 1 Uber Eats,ESP,Defender,212,11
143,7182000,28,Capitoline,Serie A,ARG,Forward,343,34
144,7173000,36,A. Bilbao,La Liga,ESP,Midfilder,579,2
145,6909000,21,R. Madrid,La Liga,BRA,Forward,124,5
146,6909000,32,R. Madrid,La Liga,ESP,Defender,360,22
147,6897000,27,A. Madrid,La Liga,ESP,Defender,212,16
148,6878000,22,Sporting CP,Primiera Liga,POR,Forward,140,7
149,6878000,24,FC Bayern,Bundesliga,MAR,Defender,157,12
150,6878000,21,FC Bayern,Bundesliga,CAN,Defender,169,32
151,6760000,29,Man UFC,Premier League,BRA,Midfilder,239,28
152,6760000,32,Everton,Premier League,SEN,Midfilder,343,88
153,6760000,27,Liverpool,Premier League,GUI,Midfilder,216,50
154,6760000,28,Man City,Premier League,ESP,Defender,310,15
155,6760000,25,West Ham,Premier League,BRA,Midfilder,155,35
156,6760000,29,Crystal Palace,Premier League,CIV,Midfilder,411,26
157,6725000,26,R. Madrid,La Liga,ESP,Midfilder,198,11
158,6706000,32,AS Monaco,Ligue 1 Uber Eats,FRA,Forward,378,19
159,6665000,19,R. Madrid,La Liga,FRA,Midfilder,102,3
